Time: 1571064494, Messages: 0, Members Joined: 0
Time: 1571064499, Messages: 0, Members Joined: 0
Time: 1571064504, Messages: 0, Members Joined: 0
Time: 1571064509, Messages: 1, Members Joined: 0
Time: 1571064514, Messages: 1, Members Joined: 0
Time: 1571064519, Messages: 0, Members Joined: 0
Time: 1571064524, Messages: 0, Members Joined: 0
Time: 1571064529, Messages: 0, Members Joined: 0
Time: 1571064534, Messages: 0, Members Joined: 0
Time: 1571064539, Messages: 0, Members Joined: 0
Time: 1571064544, Messages: 0, Members Joined: 0
Time: 1571064549, Messages: 1, Members Joined: 0
Time: 1571064554, Messages: 0, Members Joined: 0
Time: 1571064559, Messages: 0, Members Joined: 0
Time: 1571064564, Messages: 0, Members Joined: 0
Time: 1571064569, Messages: 0, Members Joined: 0
Time: 1571064574, Messages: 0, Members Joined: 0
Time: 1571064579, Messages: 0, Members Joined: 0
Time: 1571064584, Messages: 0, Members Joined: 0
Time: 1571064589, Messages: 1, Members Joined: 0
Time: 1571064594, Messages: 0, Members Joined: 0
Time: 1571064754, Messages: 0, Members Joined: 0
Time: 1571064759, Messages: 0, Members Joined: 0
Time: 1571064764, Messages: 1, Members Joined: 0
Time: 1571064769, Messages: 2, Members Joined: 0
Time: 1571064774, Messages: 1, Members Joined: 0
Time: 1571064779, Messages: 0, Members Joined: 0
Time: 1571064784, Messages: 2, Members Joined: 0
Time: 1571064789, Messages: 0, Members Joined: 0
Time: 1571064794, Messages: 0, Members Joined: 0
Time: 1571064799, Messages: 0, Members Joined: 0
Time: 1571064804, Messages: 0, Members Joined: 0
Time: 1571065674, Messages: 0, Members Joined: 0
Time: 1571065679, Messages: 2, Members Joined: 0
Time: 1571065684, Messages: 1, Members Joined: 0
Time: 1571065689, Messages: 3, Members Joined: 0
Time: 1571065694, Messages: 0, Members Joined: 0
Time: 1571065699, Messages: 0, Members Joined: 0
Time: 1571065704, Messages: 0, Members Joined: 0
Time: 1571065709, Messages: 0, Members Joined: 0
Time: 1571065714, Messages: 0, Members Joined: 0
Time: 1571070150, Messages: 0, Members Joined: 0
Time: 1571070155, Messages: 0, Members Joined: 0
Time: 1571070160, Messages: 0, Members Joined: 0
Time: 1571070165, Messages: 0, Members Joined: 0
Time: 1571070170, Messages: 0, Members Joined: 0
Time: 1571070175, Messages: 0, Members Joined: 0
Time: 1571070180, Messages: 0, Members Joined: 0
Time: 1571070185, Messages: 1, Members Joined: 0
Time: 1571070190, Messages: 0, Members Joined: 0
Time: 1571070195, Messages: 0, Members Joined: 0
Time: 1571070200, Messages: 0, Members Joined: 0
Time: 1571070205, Messages: 0, Members Joined: 0
Time: 1571070210, Messages: 0, Members Joined: 0
Time: 1571070215, Messages: 0, Members Joined: 0
Time: 1571070220, Messages: 1, Members Joined: 0
Time: 1571070225, Messages: 0, Members Joined: 0
Time: 1571070230, Messages: 0, Members Joined: 0
Time: 1571070235, Messages: 0, Members Joined: 0
Time: 1571070240, Messages: 0, Members Joined: 0
Time: 1571070245, Messages: 0, Members Joined: 0
Time: 1571070250, Messages: 2, Members Joined: 0
Time: 1571070255, Messages: 0, Members Joined: 0
Time: 1571070260, Messages: 0, Members Joined: 0
Time: 1571070265, Messages: 0, Members Joined: 0
Time: 1571070270, Messages: 0, Members Joined: 0
Time: 1571070275, Messages: 0, Members Joined: 0
Time: 1571070280, Messages: 0, Members Joined: 0
Time: 1571070285, Messages: 0, Members Joined: 0
Time: 1571070290, Messages: 0, Members Joined: 0
Time: 1571070295, Messages: 0, Members Joined: 0
Time: 1571070300, Messages: 0, Members Joined: 0
Time: 1571070305, Messages: 0, Members Joined: 0
Time: 1571070310, Messages: 0, Members Joined: 0
Time: 1571070315, Messages: 0, Members Joined: 0
Time: 1571070320, Messages: 0, Members Joined: 0
Time: 1571070325, Messages: 0, Members Joined: 0
Time: 1571070330, Messages: 0, Members Joined: 0
Time: 1571070335, Messages: 0, Members Joined: 0
Time: 1571070340, Messages: 0, Members Joined: 0
Time: 1571070345, Messages: 0, Members Joined: 0
Time: 1571070350, Messages: 0, Members Joined: 0
Time: 1571070351, Messages: 0, Members Joined: 0
Time: 1571070355, Messages: 0, Members Joined: 0
Time: 1571070356, Messages: 0, Members Joined: 0
Time: 1571070360, Messages: 3, Members Joined: 0
Time: 1571070361, Messages: 3, Members Joined: 0
Time: 1571070365, Messages: 0, Members Joined: 0
Time: 1571070366, Messages: 3, Members Joined: 0
Time: 1571070371, Messages: 0, Members Joined: 0
Time: 1571070376, Messages: 0, Members Joined: 0
Time: 1571070381, Messages: 0, Members Joined: 0
Time: 1571070397, Messages: 0, Members Joined: 0
Time: 1571070402, Messages: 2, Members Joined: 0
